x,y,z,roll,pitch,yaw,thumb,fore,index,ring,'receiver values',word
1,7,12,26,39,40,41,45,49,53,57,80
1,7,12,26,39,40,41,45,49,53,57,80
1,7,12,26,39,40,41,45,49,53,57,80
1,7,12,26,39,40,41,45,49,53,57,80
1,7,12,26,39,40,41,45,49,53,57,80
2,7,12,26,39,40,41,45,49,53,57,80
2,7,12,26,39,40,41,45,49,53,57,80
2,7,12,26,39,40,41,45,49,53,57,80
2,7,12,26,39,40,41,45,49,53,57,80
2,7,13,26,39,40,41,45,49,53,57,80
2,7,13,26,39,40,41,45,49,53,57,80
2,7,14,26,39,40,41,45,49,53,57,80
1,7,14,26,39,40,41,45,49,53,57,80
1,7,14,26,39,40,41,45,49,53,57,80
1,7,14,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,15,26,39,40,41,45,49,53,57,80
1,7,14,26,39,40,41,45,49,53,57,80
1,7,14,26,39,40,41,45,49,53,57,80
1,7,14,26,39,40,41,45,49,53,57,80
1,7,13,26,39,40,41,45,49,53,57,80
1,7,13,26,39,40,41,45,49,53,57,80
1,7,12,26,39,40,41,45,49,53,57,80
1,7,12,26,39,40,41,45,49,53,57,80
1,7,12,27,39,40,41,45,49,53,57,80
2,7,12,27,39,40,41,45,49,53,58,80
1,7,12,26,39,40,41,45,49,53,57,80
2,7,16,26,39,40,41,45,49,53,57,80
2,7,17,26,39,40,41,45,49,53,57,80
1,7,17,26,39,40,41,45,49,53,57,80
2,7,17,26,39,40,41,45,49,53,57,80
2,7,17,26,39,40,41,45,49,53,57,80
2,7,18,27,39,40,41,45,49,53,57,80
2,7,18,27,39,40,41,45,49,53,57,80
2,7,18,27,39,40,41,45,49,53,57,80
2,7,18,27,39,40,41,45,49,53,57,80
2,7,18,27,39,40,41,45,49,53,57,80
2,7,18,27,39,40,41,45,49,53,57,80
2,7,18,27,39,40,41,45,49,53,57,80
2,7,17,27,39,40,41,45,49,53,57,81
1,7,12,27,39,40,42,46,50,53,57,81
1,7,12,27,39,40,42,46,50,53,57,81
1,7,12,27,39,40,42,46,50,53,57,81
2,7,12,27,39,40,42,46,50,53,57,81
1,7,12,27,39,40,42,46,50,53,57,81
1,7,12,27,39,40,42,46,50,53,57,81
2,7,12,27,39,40,42,46,50,54,57,81
1,7,12,27,39,40,42,46,50,54,57,81
1,7,12,27,39,40,42,47,51,54,57,81
2,7,12,27,39,40,42,47,51,54,57,81
1,7,12,27,39,40,42,47,51,54,57,81
1,7,13,27,39,40,42,47,51,54,57,81
1,7,13,27,39,40,42,47,51,54,57,81
1,7,14,27,39,40,42,47,51,54,57,81
1,7,14,27,39,40,42,48,51,54,57,81
1,8,14,27,39,40,42,48,51,54,59,81
1,8,14,27,39,40,43,48,51,54,57,81
3,8,13,27,39,40,43,48,51,54,57,81
3,8,13,28,39,40,43,48,51,54,57,81
3,9,12,28,39,40,43,48,51,54,57,81
4,9,12,29,39,40,43,48,51,54,57,81
4,9,12,30,39,40,43,48,51,54,57,81
4,9,12,30,39,40,43,48,51,54,57,81
3,9,12,30,39,40,43,48,51,54,60,81
5,9,12,31,39,40,43,48,51,54,57,81
4,9,16,28,39,40,43,48,51,54,60,81
5,9,12,28,39,40,43,48,51,54,57,81
5,9,12,28,39,40,42,48,51,54,57,81
4,9,12,27,39,40,42,48,51,54,57,81
5,9,12,28,39,40,42,48,51,54,57,81
6,8,16,32,39,40,42,48,51,54,57,81
6,8,16,32,39,40,42,48,51,54,60,81
6,8,17,32,39,40,42,48,51,54,57,81
5,8,16,32,39,40,42,48,51,54,60,81
5,8,12,31,39,40,42,48,51,54,57,81
4,8,12,31,39,40,42,47,51,54,57,81
3,8,12,31,39,40,42,47,51,54,57,81
3,8,12,27,39,40,42,45,51,54,57,81
3,8,13,27,39,40,42,45,51,54,57,81
1,8,13,27,39,40,42,45,51,54,57,81
1,7,12,26,39,40,42,45,51,54,57,81
1,7,12,26,39,40,42,45,51,55,57,81
1,7,12,26,39,40,42,45,51,55,57,81
1,7,12,31,39,40,42,45,51,55,57,81
1,7,12,29,39,40,42,45,51,55,57,81
2,7,12,27,39,40,42,45,51,55,57,81
2,7,12,27,39,40,42,45,51,55,57,81
2,7,16,27,39,40,42,45,51,55,57,81
2,7,16,27,39,40,42,45,51,55,57,81
2,7,16,27,39,40,42,45,51,55,57,81
2,7,16,29,39,40,42,45,51,55,57,81
2,7,16,29,39,40,42,45,51,55,57,81
2,7,16,29,39,40,42,45,51,55,57,81
1,7,17,27,39,40,42,45,51,55,57,81
2,7,17,27,39,40,42,45,51,55,57,81
1,7,17,27,39,40,42,45,51,55,57,81
2,7,17,27,39,40,42,45,51,55,57,81
1,7,17,27,39,40,42,45,51,55,57,81
2,7,17,27,39,40,42,45,51,55,57,81
2,7,17,27,39,40,42,45,51,55,57,81
2,7,17,27,39,40,42,45,51,55,57,81
2,7,17,27,39,40,42,45,51,55,57,81
2,7,17,27,39,40,42,45,51,55,57,81
2,7,17,27,39,40,42,45,51,55,57,82
1,7,12,27,39,40,44,46,51,54,57,82
1,7,12,27,39,40,44,46,51,54,57,82
2,7,12,27,39,40,44,46,51,54,57,82
1,7,12,27,39,40,44,46,51,54,57,82
2,7,12,27,39,40,44,45,51,54,57,82
2,7,12,27,39,40,44,45,51,54,57,82
2,7,12,27,39,40,44,45,51,54,57,82
2,7,12,27,39,40,44,45,51,54,57,82
2,7,12,27,39,40,44,45,51,54,57,82
2,7,12,29,39,40,44,45,51,54,57,82
2,7,12,29,39,40,44,45,51,54,57,82
2,7,12,29,39,40,44,45,52,54,57,82
2,7,12,29,39,40,44,45,52,54,57,82
1,7,13,29,39,40,44,45,52,54,57,82
1,7,13,29,39,40,44,45,52,54,57,82
1,7,13,29,39,40,44,45,52,54,57,82
1,8,13,31,39,40,44,45,52,54,57,82
1,8,13,31,39,40,44,45,52,54,57,82
1,8,13,29,39,40,44,45,52,54,57,82
1,8,13,27,39,40,44,45,52,54,57,82
1,8,13,26,39,40,44,45,52,54,57,82
1,8,13,26,39,40,44,45,52,54,57,82
1,8,13,26,39,40,44,45,52,54,57,82
1,8,13,26,39,40,44,45,52,54,57,82
1,8,13,27,39,40,44,45,52,54,57,82
1,8,13,26,39,40,44,45,52,54,57,82
1,8,13,26,39,40,44,45,52,54,57,82
1,8,13,27,39,40,44,45,51,54,57,82
1,8,13,26,39,40,44,45,51,54,57,82
1,8,13,26,39,40,44,45,52,54,57,82
1,8,13,26,39,40,44,45,51,54,57,82
1,8,13,26,39,40,44,45,51,54,57,82
1,8,13,26,39,40,44,45,51,54,57,82
1,8,13,26,39,40,44,45,51,54,57,82
1,8,13,26,39,40,44,45,51,54,57,82
1,8,12,26,39,40,44,45,51,54,57,82
1,8,12,26,39,40,44,46,51,54,57,82
1,7,12,26,39,40,44,46,51,54,57,82
1,7,12,27,39,40,44,46,51,54,57,82
1,7,12,27,39,40,44,46,51,54,57,82
1,7,12,27,39,40,44,46,51,54,57,82
1,7,12,27,39,40,44,46,51,54,57,82
1,7,12,26,39,40,44,46,51,54,57,82
1,7,12,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
1,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
2,7,16,26,39,40,44,46,51,54,57,82
