x,y,z,roll,pitch,yaw,thumb,fore,index,ring,'receiver values',word
175,185,195,26,39,40,41,45,49,53,57,80
175,185,195,26,39,40,41,45,49,53,57,80
176,185,195,26,39,40,41,45,49,53,57,80
175,186,195,26,39,40,41,45,49,53,57,80
175,186,195,26,39,40,41,45,49,53,57,80
177,186,195,26,39,40,41,45,49,53,57,80
178,187,196,26,39,40,41,45,49,53,57,80
178,188,197,26,39,40,41,45,49,53,57,80
178,188,197,26,39,40,41,45,49,53,57,80
178,189,198,26,39,40,41,45,49,53,57,80
178,189,198,26,39,40,41,45,49,53,57,80
178,190,199,26,39,40,41,45,49,53,57,80
176,190,200,26,39,40,41,45,49,53,57,80
179,190,200,26,39,40,41,45,49,53,57,80
179,190,200,26,39,40,41,45,49,53,57,80
179,191,200,26,39,40,41,45,49,53,57,80
179,191,200,26,39,40,41,45,49,53,57,80
179,191,200,26,39,40,41,45,49,53,57,80
179,191,200,26,39,40,41,45,49,53,57,80
180,190,200,26,39,40,41,45,49,53,57,80
180,190,200,26,39,40,41,45,49,53,57,80
179,190,200,26,39,40,41,45,49,53,57,80
179,190,200,26,39,40,41,45,49,53,57,80
181,190,200,26,39,40,41,45,49,53,57,80
181,190,200,26,39,40,41,45,49,53,57,80
181,190,200,26,39,40,41,45,49,53,57,80
181,190,200,26,39,40,41,45,49,53,57,80
179,190,200,26,39,40,41,45,49,53,57,80
179,190,200,26,39,40,41,45,49,53,57,80
179,190,199,26,39,40,41,45,49,53,57,80
180,190,199,26,39,40,41,45,49,53,57,80
180,190,198,26,39,40,41,45,49,53,57,80
176,190,197,26,39,40,41,45,49,53,57,80
182,189,196,26,39,40,41,45,49,53,57,80
175,189,195,27,39,40,41,45,49,53,57,80
178,189,195,27,39,40,41,45,49,53,58,80
176,189,195,26,39,40,41,45,49,53,57,80
177,188,201,26,39,40,41,45,49,53,57,80
177,187,202,26,39,40,41,45,49,53,57,80
175,187,202,26,39,40,41,45,49,53,57,80
177,185,202,26,39,40,41,45,49,53,57,80
