,x,y,z,roll,pitch,yaw,thumb,fore,index,ring,receiver values,word
0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
2,-0.007812,0.0,0.0,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
3,0.0,0.007812,0.0,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
4,0.0,0.007812,0.0,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
5,0.007812,0.023438,0.0,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
6,0.039062,0.046875,-0.007812,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
7,0.046875,0.078125,-0.015625,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
8,0.070312,0.117188,-0.023438,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
9,0.070312,0.148438,-0.03125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
10,0.046875,0.179688,-0.039062,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
11,0.03125,0.234375,-0.054688,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
12,-0.007812,0.242188,-0.0625,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
13,-0.101562,0.273438,-0.070312,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
14,-0.171875,0.289062,-0.070312,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
15,-0.1875,0.3125,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
16,-0.179688,0.328125,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
17,-0.132812,0.328125,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
18,-0.117188,0.320312,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
19,-0.085938,0.304688,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
20,-0.070312,0.289062,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
21,-0.101562,0.289062,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
22,-0.179688,0.289062,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
23,-0.210938,0.273438,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
24,-0.210938,0.273438,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
25,-0.203125,0.289062,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
26,-0.203125,0.257812,-0.078125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
27,-0.164062,0.257812,-0.070312,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
28,-0.140625,0.257812,-0.0625,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
29,-0.101562,0.257812,-0.054688,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
30,-0.070312,0.242188,-0.046875,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
31,-0.046875,0.234375,-0.03125,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
32,-0.015625,0.21875,-0.023438,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
33,-0.023438,0.203125,-0.007812,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
34,0.0,0.171875,0.0,0.083333,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
35,0.0625,0.148438,0.0,0.083333,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3E,which
36,-0.007812,0.132812,0.0,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
37,0.015625,0.109375,0.007812,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
38,0.007812,0.054688,0.015625,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
39,0.0,0.039062,0.015625,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
40,0.015625,0.0,0.015625,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
41,0.015625,0.015625,0.015625,0.0,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
42,0.03125,0.023438,0.023438,0.083333,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
43,0.039062,0.023438,0.023438,0.083333,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
44,0.039062,0.023438,0.023438,0.083333,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
45,0.023438,0.039062,0.023438,0.083333,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
46,0.039062,0.007812,0.023438,0.083333,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
47,0.039062,0.015625,0.023438,0.083333,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
48,0.039062,0.015625,0.023438,0.083333,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
49,0.039062,0.015625,0.015625,0.083333,-1.0,-1.0,0.0,0.75,0.75,0.5, 0x3F,which
0,0.0,0.0,0.0,0.083333,-1.0,-1.0,0.25,0.5,0.0,0.5, 0x3F,girl
1,0.0,0.0,0.0,0.083333,-1.0,-1.0,0.25,0.5,0.0,0.5, 0x3F,girl
2,0.0,0.0,0.0,0.083333,-1.0,-1.0,0.25,0.5,0.0,0.5, 0x3F,girl
3,0.007812,0.0,0.0,0.083333,-1.0,-1.0,0.25,0.5,0.0,0.5, 0x3F,girl
4,0.0,0.0,0.0,0.083333,-1.0,-1.0,0.25,0.5,0.0,0.5, 0x3F,girl
5,0.0,0.0,0.0,0.083333,-1.0,-1.0,0.25,0.5,0.0,0.5, 0x3F,girl
6,0.007812,0.0,0.0,0.083333,-1.0,-1.0,0.25,0.5,0.0,0.75, 0x3F,girl
7,0.0,-0.015625,0.0,0.083333,-1.0,-1.0,0.25,0.5,0.0,0.75, 0x3F,girl
8,0.0,0.0,0.0,0.083333,-1.0,-1.0,0.25,0.25,0.25,0.75, 0x3F,girl
9,0.023438,0.0625,-0.007812,0.083333,-1.0,-1.0,0.25,0.25,0.25,0.75, 0x3F,girl
10,0.0,0.109375,-0.023438,0.083333,-1.0,-1.0,0.25,0.25,0.25,0.75, 0x3F,girl
11,-0.023438,0.164062,-0.03125,0.083333,-1.0,-1.0,0.25,0.25,0.25,0.75, 0x3F,girl
12,-0.0625,0.242188,-0.046875,0.083333,-1.0,-1.0,0.25,0.25,0.25,0.75, 0x3F,girl
13,-0.09375,0.320312,-0.054688,0.083333,-1.0,-1.0,0.25,0.25,0.25,0.75, 0x3F,girl
14,-0.140625,0.40625,-0.0625,0.083333,-1.0,-1.0,0.25,0.0,0.25,0.75, 0x3F,girl
15,-0.203125,0.5,-0.0625,0.083333,-1.0,-1.0,0.25,0.0,0.25,0.75, 0x37,girl
16,-0.234375,0.570312,-0.054688,0.083333,-1.0,-1.0,0.5,0.0,0.25,0.75, 0x3F,girl
17,-0.34375,0.617188,-0.046875,0.083333,-1.0,-1.0,0.5,0.0,0.25,0.75, 0x3F,girl
18,-0.445312,0.664062,-0.039062,0.333333,-1.0,-1.0,0.5,0.0,0.25,0.75, 0x3F,girl
19,-0.5,0.6875,-0.023438,0.333333,-1.0,-1.0,0.5,0.0,0.25,0.75, 0x3F,girl
20,-0.523438,0.703125,-0.015625,0.166667,-1.0,-1.0,0.5,0.0,0.25,0.75, 0x3F,girl
21,-0.570312,0.695312,0.0,0.416667,-1.0,-1.0,0.5,0.0,0.25,0.75, 0x3F,girl
22,-0.570312,0.695312,0.0,0.416667,-1.0,-1.0,0.5,0.0,0.25,0.75, 0x3F,girl
23,-0.46875,0.742188,0.0,0.416667,-1.0,-1.0,0.5,0.0,0.25,0.75, 0x2F,girl
