Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q0,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q0,Avg_Utilization_Ratio
1,3,13,15,21,28,32,38,42,52,58,65,72,82,92,102,106,116,126,0
1,3,14,16,22,29,33,38,43,53,58,66,73,82,93,102,106,117,127,0
1,4,13,15,22,28,34,38,44,54,58,67,74,83,94,103,106,118,128,0
1,5,14,17,21,30,33,38,45,55,59,68,74,84,94,102,106,118,128,0
1,5,13,15,23,28,32,38,46,52,58,67,74,83,95,103,106,117,128,0
1,6,13,18,22,28,35,38,44,55,58,66,74,85,94,102,106,117,129,0
1,4,13,17,24,28,36,39,43,53,58,65,75,86,96,102,106,117,129,0
1,7,13,19,21,30,32,40,47,56,60,66,76,87,97,103,106,116,129,0
1,5,13,15,23,29,32,38,44,52,60,67,77,84,98,104,106,117,126,0
1,3,13,18,22,29,34,38,44,53,61,65,72,88,93,102,106,117,129,0
1,6,13,16,23,30,36,38,45,52,61,66,78,87,95,105,106,116,129,0
1,8,13,20,24,28,35,38,48,53,60,65,73,88,93,102,106,117,126,0
1,9,13,20,25,29,34,38,44,55,62,67,72,83,92,104,106,118,127,0
1,7,13,15,22,30,32,38,47,52,58,65,73,88,95,102,106,117,128,0
1,9,14,18,22,28,33,38,49,52,60,66,74,89,94,102,106,117,129,0
1,6,13,17,24,30,34,38,44,52,58,66,74,82,94,102,106,117,126,0
1,3,13,17,26,29,34,38,44,53,60,65,76,84,97,102,106,117,129,0
1,6,13,15,24,28,34,38,45,54,59,68,72,87,92,105,106,118,126,0
1,10,13,20,21,28,35,38,48,56,60,65,74,84,94,102,106,117,126,0
1,3,14,18,22,28,37,38,44,53,58,66,72,85,92,105,106,118,129,0
1,3,13,20,27,31,32,38,42,52,60,67,79,90,98,105,106,117,129,0
2,10,14,19,22,28,33,38,49,56,61,65,74,83,94,102,106,118,129,0
1,6,13,15,21,28,35,38,45,54,60,68,74,89,95,102,106,118,126,0
1,3,14,17,24,29,33,38,44,55,61,66,74,88,94,105,106,117,129,0
1,4,13,18,24,28,34,38,42,54,60,65,72,83,92,102,106,118,129,0
1,6,14,15,22,29,33,38,47,53,58,66,78,88,95,105,106,118,129,0
1,10,13,20,21,30,35,38,43,54,58,66,80,87,92,105,106,117,126,0
1,10,13,20,24,28,32,38,48,55,61,66,73,85,93,105,106,116,126,0
1,6,14,15,23,29,37,38,45,52,60,66,73,83,93,105,106,118,126,0
1,3,13,17,21,28,35,38,42,53,63,67,78,87,94,105,106,116,129,0
1,4,13,15,24,28,34,38,45,55,60,65,74,90,94,105,106,117,128,0
1,4,13,18,23,28,32,38,49,56,64,68,74,88,94,102,106,117,126,0
1,6,13,17,22,28,32,38,44,54,58,66,73,84,95,102,106,117,126,0
1,4,14,18,25,28,33,38,44,52,60,65,74,87,94,102,106,117,126,0
1,9,13,19,22,28,34,38,49,53,60,66,72,88,92,105,106,117,129,0
1,9,14,20,25,29,33,38,44,54,60,68,74,90,94,105,106,116,129,0
1,9,14,15,22,28,33,38,44,53,60,65,74,84,94,102,106,116,126,0
1,6,14,17,21,28,33,39,44,56,61,65,80,83,99,105,106,118,126,0
1,9,14,20,22,30,35,38,49,55,61,66,74,82,94,102,106,117,129,0
2,8,14,19,27,28,37,38,48,52,59,65,78,89,93,102,106,118,129,0
1,3,13,15,22,29,34,38,42,56,60,66,75,89,96,102,106,117,129,0
1,4,13,18,24,28,35,38,43,54,58,67,78,86,95,105,106,117,129,0
1,4,14,20,25,29,35,40,42,55,60,65,80,84,99,102,106,117,126,0
1,3,13,15,21,28,32,38,44,52,60,68,74,83,95,102,106,117,126,0
1,5,14,17,22,29,37,38,47,56,61,65,73,86,93,105,106,117,129,0
1,3,13,17,23,29,34,38,47,55,60,65,75,83,96,102,106,117,126,0
1,9,13,18,27,28,32,38,43,53,60,67,74,87,94,103,106,117,129,0
1,10,13,20,27,28,35,38,48,55,60,66,74,86,94,103,106,117,126,0
1,3,13,15,21,28,34,38,42,54,61,65,79,87,98,105,106,117,129,0
1,4,13,20,25,29,34,38,42,52,58,68,74,85,95,105,106,116,129,0
1,4,14,15,24,28,33,38,42,53,61,66,74,88,94,102,106,117,126,0
2,4,14,20,22,28,33,38,42,56,61,68,74,82,94,105,106,118,129,0
1,8,14,19,21,28,33,38,48,55,59,66,74,86,94,102,106,116,126,0
1,3,13,18,24,28,36,38,44,54,60,67,79,84,99,105,106,117,129,0
2,9,13,18,22,28,36,38,44,57,61,65,80,83,99,102,106,118,129,0
1,3,14,17,22,30,33,38,44,53,59,66,74,86,94,105,106,117,129,0
1,3,14,15,22,29,33,38,44,56,60,67,74,84,94,105,106,116,129,0
1,9,13,18,23,28,35,38,49,54,60,65,74,90,94,102,106,117,126,0
1,6,14,16,22,28,37,38,44,54,58,66,78,82,95,103,106,117,126,0
1,6,13,18,21,29,32,38,45,54,59,65,74,88,94,105,106,117,126,0
1,9,13,15,24,28,34,38,43,54,60,65,74,86,94,105,106,117,129,0
2,3,13,18,22,28,32,40,44,56,59,69,75,83,96,105,106,118,129,0
1,5,13,20,21,31,32,38,45,52,61,65,78,85,95,105,106,117,126,0
1,6,13,17,26,29,36,38,45,56,59,66,77,86,100,105,106,117,129,0
1,4,13,18,21,29,36,38,43,54,60,66,80,88,92,105,106,117,129,0
1,4,13,17,23,29,34,40,44,54,58,69,75,88,96,105,106,117,129,0
1,9,13,18,25,28,32,38,48,52,61,65,78,90,95,105,106,117,129,0
1,6,14,18,23,29,33,38,46,53,61,65,74,87,94,102,106,117,129,0
1,3,13,18,22,28,32,38,45,56,60,66,74,85,94,102,106,118,128,0
1,4,13,18,27,28,34,38,44,53,60,66,81,87,100,102,106,118,128,0
1,4,13,17,22,29,36,38,42,55,60,65,75,90,96,102,106,116,126,0
1,9,14,18,22,28,33,38,42,52,61,65,74,85,94,105,106,116,129,0
1,4,13,20,22,30,32,38,42,54,60,65,74,86,94,105,106,118,129,0
1,6,13,16,23,28,34,38,44,53,60,66,77,88,100,105,106,117,129,0
1,6,13,20,25,29,32,38,44,55,61,65,77,90,100,102,106,117,126,0
1,4,13,18,22,29,34,38,44,52,61,66,78,88,95,105,106,117,129,0
1,6,14,17,22,29,33,38,44,53,59,66,78,84,95,105,106,117,126,0
1,5,14,15,23,29,33,38,47,54,59,66,78,90,95,105,107,119,129,0
1,3,13,15,22,31,32,38,47,53,58,66,74,90,94,105,106,117,129,0
1,3,13,18,22,28,34,38,44,53,61,66,76,90,101,105,106,117,129,0
1,3,13,15,22,28,32,38,44,54,59,67,73,88,95,102,106,116,126,0
1,6,13,20,24,30,36,38,44,53,60,66,75,88,96,105,106,117,129,0
2,9,14,17,24,28,35,38,43,56,59,65,74,83,94,105,106,118,129,0
1,10,14,20,22,28,37,38,48,56,61,65,73,87,93,105,106,118,129,0
1,4,13,20,22,31,34,38,44,52,59,66,75,85,96,102,106,117,128,0
1,4,13,18,22,28,32,38,43,52,61,67,74,90,94,105,106,117,129,0
1,4,13,18,21,29,36,38,44,54,60,68,79,86,99,105,106,117,129,0
1,6,14,15,23,29,33,38,44,52,60,65,74,83,95,105,106,117,129,0
1,6,13,15,21,29,32,38,45,54,61,68,72,82,92,102,106,118,126,0
1,9,13,18,24,28,36,38,43,52,61,65,78,83,95,102,106,117,126,0
1,4,14,18,21,29,33,38,44,55,60,66,73,83,93,105,106,118,126,0
1,3,13,17,21,29,34,38,44,54,61,67,75,90,97,105,106,117,128,0
1,3,13,20,22,29,35,38,44,54,59,65,78,83,95,105,106,117,129,0
1,4,13,19,22,29,34,38,42,52,59,68,74,86,94,105,106,117,129,0
1,3,14,15,24,28,37,38,47,52,58,66,74,84,94,102,106,118,126,0
1,8,13,20,22,28,33,38,48,53,59,65,74,82,94,102,106,117,129,0
1,3,13,15,22,28,35,38,44,52,59,66,74,85,94,105,106,117,129,0
