Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
1,3,5,15,17,26,36,39,48,55
2,4,6,16,18,26,36,40,49,56
1,4,6,16,19,26,37,41,49,56
1,4,7,15,20,26,38,41,49,57
1,3,8,16,17,26,36,42,49,57
2,3,9,16,17,26,36,42,49,55
2,4,6,16,18,26,36,42,50,55
2,4,7,16,20,26,38,39,49,57
2,3,8,16,18,26,36,42,49,58
1,3,5,15,17,27,36,39,48,55
2,4,7,15,21,26,36,40,51,56
2,3,10,15,17,26,36,41,52,57
2,3,8,15,22,28,36,43,51,55
1,3,8,15,17,26,36,44,49,56
1,4,7,16,23,26,38,39,49,56
2,4,11,16,20,26,37,40,49,57
1,4,12,16,22,29,36,40,51,58
2,3,5,15,17,27,36,39,49,55
1,4,9,16,20,30,36,41,51,58
2,3,9,16,20,31,36,41,49,56
1,4,7,15,20,26,38,42,49,57
1,3,8,15,17,28,36,45,48,58
1,4,12,16,20,26,38,42,49,57
1,3,9,16,20,26,36,40,49,56
2,3,9,15,20,31,36,39,49,57
2,4,10,16,20,26,36,42,49,57
2,4,10,15,21,26,36,41,48,58
1,3,5,15,17,26,36,42,53,55
2,4,13,15,19,26,37,41,49,55
2,3,8,16,17,27,36,39,52,55
1,3,8,15,21,31,36,40,48,55
2,4,8,15,17,26,38,43,51,55
2,4,8,16,20,32,36,41,49,58
2,3,12,16,20,27,36,40,49,56
2,3,5,15,17,26,36,41,49,55
2,3,8,16,20,30,36,42,49,58
1,4,10,15,18,32,36,40,49,58
1,4,10,16,20,26,38,39,48,56
1,3,5,15,17,26,36,39,49,55
2,3,10,16,18,26,36,40,49,58
2,4,6,15,20,26,38,41,53,56
2,4,9,16,20,26,38,41,49,57
1,4,10,16,20,26,36,40,51,58
2,4,7,16,23,26,38,41,49,57
1,4,11,15,24,26,36,40,48,58
1,4,8,16,20,30,38,41,49,56
1,3,5,16,17,28,36,39,49,55
2,4,10,16,20,26,38,42,51,57
1,4,12,16,20,26,38,41,49,57
1,4,7,16,20,28,38,41,52,57
1,4,14,16,19,26,37,42,49,55
1,4,7,16,19,26,37,41,49,58
1,4,7,16,19,33,37,41,49,58
1,3,5,16,23,26,36,41,49,58
1,4,8,16,21,26,38,41,49,58
1,3,8,15,20,32,36,39,49,58
1,4,7,16,20,26,38,39,49,56
1,4,8,16,17,32,36,41,49,55
2,4,12,16,23,32,38,41,49,58
2,4,12,15,20,26,38,43,49,56
2,3,9,15,17,32,36,39,49,55
1,4,7,16,20,26,38,39,49,57
2,3,9,15,22,26,36,42,49,56
2,3,9,16,21,26,36,41,49,55
1,4,12,15,20,27,36,42,48,58
1,4,10,16,18,34,38,41,49,57
1,3,8,15,17,26,36,39,49,57
2,3,8,15,17,33,36,42,54,55
1,4,6,16,20,32,36,40,49,58
1,4,9,15,23,32,38,39,51,56
2,3,5,15,24,26,36,42,48,58
1,3,8,15,17,33,36,43,49,55
1,4,12,16,20,26,38,42,49,57
2,4,9,16,20,31,36,41,49,57
2,3,10,15,23,33,36,42,48,55
1,4,10,15,21,26,38,41,51,55
1,3,9,16,23,26,36,42,52,56
2,4,12,16,20,26,38,39,51,57
2,4,6,16,20,26,37,41,49,57
1,4,8,15,23,26,36,41,51,55
1,4,7,15,20,26,36,40,49,56
2,3,9,16,20,26,36,40,49,55
1,4,6,16,20,26,37,41,49,57
1,4,7,16,21,26,38,41,49,57
1,4,8,15,18,27,38,42,48,55
1,4,7,16,20,26,38,39,49,57
1,4,14,15,25,26,37,46,49,56
1,4,12,15,20,26,36,42,48,58
1,4,9,15,25,26,37,43,49,58
2,4,9,16,17,35,36,41,49,56
1,3,5,15,21,26,36,41,49,55
1,4,8,16,22,27,36,41,52,55
1,3,13,15,19,26,36,40,49,55
1,3,5,15,17,28,36,42,49,55
2,3,9,16,20,26,36,40,49,58
1,3,12,16,20,26,36,40,49,57
1,4,10,16,25,26,37,42,49,55
1,4,9,15,25,32,38,39,52,56
1,4,11,15,19,26,36,40,49,55
1,3,9,16,20,26,36,41,53,57
2,4,9,16,20,26,37,41,50,58
1,4,10,16,25,26,37,42,49,57
1,4,7,15,25,26,37,39,51,56
2,4,12,15,18,28,38,39,48,56
